x,y,edge_id,subtype,method,type,ai,info,info_bits,info_cond,cplx,n_xy_ai,info_shifted,info_shifted_bits,ort_inferred,is_causal,sign,partial_correlation,p_y2x,p_x2y,weight
rad51,sf3b1,rad51---sf3b1,basal,MIIC,P,NA,37.477125,0.271698805951135,37.477125,14.878813,199,22.598312,0.163831520878701,-2,TRUE,+,0.501328235103469,0.979914044122917,5.00306012776473e-4,NA
dab2,pdgfrb,dab2---pdgfrb,basal,MIIC,P,NA,43.273525,0.313721105122033,43.273525,21.214953,199,22.058572,0.159918554942172,-2,TRUE,+,0.522341899298459,0.569819015361315,0.00761107989981098,NA
mecom,nr2f1,mecom---nr2f1,basal,MIIC,P,NA,37.119352,0.269105050509607,37.119352,15.081746,199,22.037606,0.159766557232487,1,FALSE,+,0.425024250075489,0.5,0.5,NA
mapk14,sf3b1,mapk14---sf3b1,basal,MIIC,P,NA,42.405966,0.307431541971387,42.405966,20.50146,199,21.904506,0.158801618991571,1,FALSE,+,0.622571612935561,0.5,0.5,NA
ackr3,pdgfrb,ackr3---pdgfrb,basal,MIIC,P,NA,36.582724,0.265214645713616,36.582724,14.874028,199,21.708696,0.157382050569679,1,FALSE,+,0.539323866515393,0.5,0.00179554394194108,NA
ackr3,col12a1,ackr3---col12a1,basal,MIIC,P,NA,42.585003,0.308729510775586,42.585003,21.618551,199,20.966452,0.152000986559982,-2,TRUE,+,0.54492839361827194,0.754945787580469,0.0550397991002822,NA
adam10,hsd17b6,adam10---hsd17b6,basal,MIIC,P,NA,30.566716,0.221600249193273,30.566716,9.60746,199,20.959256,0.151948817547348,6,FALSE,+,0.346064676461709,0.991039921622818,0.886997273449827,NA
itgav,jak1,itgav---jak1,basal,MIIC,P,NA,40.942828,0.296824195555627,40.942828,20.167868,199,20.77496,0.150612722445561,2,TRUE,+,0.464842517212073,0.331891991845416,0.999916307632999,NA
ar,tgfb3,ar---tgfb3,basal,MIIC,P,NA,35.593883,0.258045821558201,35.593883,14.9951,199,20.598783,0.149335487851497,1,FALSE,+,0.505806304248515,0.5,0.5,NA
acvrl1,dab2,acvrl1---dab2,basal,MIIC,P,NA,47.52314,0.344529640228502,47.52314,26.955616,199,20.567524,0.149108868734496,2,FALSE,+,0.558430543088048,0.5,0.569819015361315,NA
casp8,sf3b1,casp8---sf3b1,basal,MIIC,P,NA,34.951382,0.253387866751838,34.951382,14.901703,199,20.049679,0.145354635501083,1,FALSE,+,0.526748776930691,0.5,5.18849772511416e-4,NA
dll1,pdgfrb,dll1---pdgfrb,basal,MIIC,P,NA,38.042565,0.27579808978993,38.042565,18.285899,199,19.756666,0.14323037217437,2,FALSE,+,0.57539239908786,0.5,0.998967299881324,NA
jak1,stat3,jak1---stat3,basal,MIIC,P,NA,29.6291,0.21480279214072,29.6291,9.874179,199,19.754921,0.143217721406298,1,FALSE,+,0.367212033837485,0.0127436529726144,0.334650456313866,NA
adam10,ncoa2,adam10---ncoa2,basal,MIIC,P,NA,40.150068,0.29107690449726,40.150068,20.470205,199,19.679863,0.142673571635549,1,FALSE,+,0.57157421316768,0.00953058357469697,0.5,NA
arid1a,eif5a2,arid1a---eif5a2,basal,MIIC,P,NA,29.58755,0.214501566115851,29.58755,9.965315,199,19.622235,0.142255784551044,1,FALSE,-,-0.388529896139665,0.5,0.5,NA
adam10,mapk9,adam10---mapk9,basal,MIIC,P,NA,33.961503,0.246211517383094,33.961503,14.513555,199,19.447948,0.140992251935007,2,TRUE,+,0.427995931164811,0.0089606086602044,0.995052318187128,NA
