subtype,edge_id,source,target,direction,p_x2y,p_y2x,direction_strength,info,n_subtypes
basal,jag1---pdgfrb,jag1,pdgfrb,jag1 -> pdgfrb,0.00121360479543114,0.998085802269552,0.9968721974741209,25.530293,1
basal,adam10---mapk9,mapk9,adam10,mapk9 -> adam10,0.995052318187128,0.0089606086602044,0.9860917095269236,33.961503,1
basal,rad51---sf3b1,rad51,sf3b1,rad51 -> sf3b1,5.00306012776473e-4,0.979914044122917,0.9794137381101405,37.477125,1
basal,ackr3---col12a1,ackr3,col12a1,ackr3 -> col12a1,0.0550397991002822,0.754945787580469,0.6999059884801868,42.585003,1
basal,col12a1---mmp11,mmp11,col12a1,mmp11 -> col12a1,0.5,3.04605180355717e-4,0.49969539481964426,85.988012,1
basal,col12a1---ptprd,ptprd,col12a1,ptprd -> col12a1,0.5,3.19197046746917e-4,0.49968080295325307,34.890878,1
basal,rad51c---sf3b1,rad51c,sf3b1,rad51c -> sf3b1,5.54821805137322e-4,0.5,0.49944517819486267,26.283826,1
basal,arid1a---sf3b1,arid1a,sf3b1,arid1a -> sf3b1,5.98143451064057e-4,0.5,0.49940185654893593,26.10377,1
basal,pdgfrb---tgfb3,tgfb3,pdgfrb,tgfb3 -> pdgfrb,0.5,0.00104893460944384,0.49895106539055617,93.71829,1
basal,jak1---serpini1,serpini1,jak1,serpini1 -> jak1,0.5,0.00127186850615884,0.49872813149384115,51.415878,1
basal,ackr3---pdgfrb,ackr3,pdgfrb,ackr3 -> pdgfrb,0.00179554394194108,0.5,0.4982044560580589,36.582724,1
basal,ar---frmd3,ar,frmd3,ar -> frmd3,0.00256120745219277,0.5,0.4974387925478072,26.210988,1
basal,frmd3---mmp7,mmp7,frmd3,mmp7 -> frmd3,0.5,0.00331767700416615,0.49668232299583387,25.618759,1
basal,frmd3---map2,map2,frmd3,map2 -> frmd3,0.5,0.00499796433066692,0.4950020356693331,17.651593,1
basal,myc---nrarp,nrarp,myc,nrarp -> myc,0.5,0.00604140275980542,0.4939585972401946,29.577285,1
basal,foxp1---myc,foxp1,myc,foxp1 -> myc,0.00657293969451666,0.5,0.49342706030548333,16.070785,1
basal,mmp11---pdgfrb,mmp11,pdgfrb,mmp11 -> pdgfrb,0.00867647095612863,0.5,0.4913235290438714,72.712489,1
basal,adam10---sf3b1,sf3b1,adam10,sf3b1 -> adam10,0.5,0.00896263262190456,0.49103736737809545,36.010075,1
basal,adam10---ncoa2,ncoa2,adam10,ncoa2 -> adam10,0.5,0.00953058357469697,0.490469416425303,40.150068,1
basal,eif4e---ncstn,ncstn,eif4e,ncstn -> eif4e,0.5,0.00978707611128519,0.4902129238887148,16.786065,1
basal,jak1---src,src,jak1,src -> jak1,0.5,0.0111599743286896,0.4888400256713104,19.605862,1
basal,jak1---mmp15,mmp15,jak1,mmp15 -> jak1,0.5,0.0123144273841209,0.4876855726158791,25.642978,1
basal,cdkn1b---zfp36l1,cdkn1b,zfp36l1,cdkn1b -> zfp36l1,0.0140697787835613,0.5,0.4859302212164387,64.359604,1
basal,cbfb---itgav,itgav,cbfb,itgav -> cbfb,0.5,0.016746288421439,0.483253711578561,31.5332,1
basal,arid5b---map2k1,arid5b,map2k1,arid5b -> map2k1,0.0174547683527245,0.5,0.4825452316472755,16.796355,1
basal,kdm3a---zfp36l1,kdm3a,zfp36l1,kdm3a -> zfp36l1,0.0229361840633385,0.5,0.4770638159366615,34.090136,1
basal,abcc10---adam10,abcc10,adam10,abcc10 -> adam10,0.0308169044968988,0.5,0.4691830955031012,21.064457,1
basal,col12a1---mmp3,mmp3,col12a1,mmp3 -> col12a1,0.5,0.0370556913332425,0.4629443086667575,22.878315,1
basal,map2---mmp7,map2,mmp7,map2 -> mmp7,0.0577942610083433,0.5,0.4422057389916567,17.502171,1
basal,foxp1---map3k1,foxp1,map3k1,foxp1 -> map3k1,0.0639219188132091,0.5,0.4360780811867909,18.286078,1
