x,y,weight,subtype,method,edge_id
maml1,tnk2,0.12556770897231395,luma,ARACNE,maml1---tnk2
adam10,eif4e,0.1255585977355409,luma,ARACNE,adam10---eif4e
sf3b1,map2k2,0.1237409590292673,luma,ARACNE,map2k2---sf3b1
asxl2,spen,0.12368079017394074,luma,ARACNE,asxl2---spen
cxcr1,numbl,0.12346542311133035,luma,ARACNE,cxcr1---numbl
tsc2,abcc1,0.12187252545892768,luma,ARACNE,abcc1---tsc2
mmp3,nr2f1,0.12132788597048716,luma,ARACNE,mmp3---nr2f1
maml1,setd2,0.12125045149428271,luma,ARACNE,maml1---setd2
tsc2,maml1,0.12123058645541196,luma,ARACNE,maml1---tsc2
smarcd1,map2k2,0.12093418136947331,luma,ARACNE,map2k2---smarcd1
maml1,spen,0.12033435730379871,luma,ARACNE,maml1---spen
arid1a,spen,0.11803742921945659,luma,ARACNE,arid1a---spen
sf3b1,eif4e,0.11801782168998631,luma,ARACNE,eif4e---sf3b1
numbl,hdac9,0.11663156241871775,luma,ARACNE,hdac9---numbl
casp8,eif5a2,0.11646060831227079,luma,ARACNE,casp8---eif5a2
casp8,eif4e,0.11640414176742553,luma,ARACNE,casp8---eif4e
ubr5,arid2,0.11621096557017285,luma,ARACNE,arid2---ubr5
tsc2,eif4e,0.11463844743690998,luma,ARACNE,eif4e---tsc2
bche,igf1,0.11386683253384877,luma,ARACNE,bche---igf1
casp8,map2k2,0.11375761306383048,luma,ARACNE,casp8---map2k2
ncstn,myc,0.11366039065559175,luma,ARACNE,myc---ncstn
cdkn1b,spry2,0.11052789679306585,luma,ARACNE,cdkn1b---spry2
jak1,rbl2,0.10815449543356515,luma,ARACNE,jak1---rbl2
arid5b,col6a3,0.10655000477662124,luma,ARACNE,arid5b---col6a3
jak1,birc6,0.10552553052353453,luma,ARACNE,birc6---jak1
col12a1,ptprm,0.10483155988454484,luma,ARACNE,col12a1---ptprm
hsd17b6,ackr3,0.10378514582149823,luma,ARACNE,ackr3---hsd17b6
adam10,map4,0.10350522413227381,luma,ARACNE,adam10---map4
spen,smarcd1,0.10266687961811805,luma,ARACNE,smarcd1---spen
jak1,smad7,0.1019256353768041,luma,ARACNE,jak1---smad7
hsd17b7,chd1,0.10131525040599776,luma,ARACNE,chd1---hsd17b7
sf3b1,eif5a2,0.10101167314229542,luma,ARACNE,eif5a2---sf3b1
akr1c2,acvrl1,0.0993641869259152,luma,ARACNE,acvrl1---akr1c2
ctcf,eif4e,0.09898112043690332,luma,ARACNE,ctcf---eif4e
ncor1,adam10,0.09871474314577533,luma,ARACNE,adam10---ncor1
asxl2,maml1,0.0986207226915603,luma,ARACNE,asxl2---maml1
smad1,casp8,0.09828132824320601,luma,ARACNE,casp8---smad1
smad1,mapk14,0.09799389484374199,luma,ARACNE,mapk14---smad1
map4,eif4e,0.09776379032200833,luma,ARACNE,eif4e---map4
cxcr1,thsd7a,0.0977429881994496,luma,ARACNE,cxcr1---thsd7a
zfp36l1,ctcf,0.09689777243612951,luma,ARACNE,ctcf---zfp36l1
acvr2a,kdm3a,0.09686577470733049,luma,ARACNE,acvr2a---kdm3a
igf1,akr1c4,0.09653332722600894,luma,ARACNE,akr1c4---igf1
hsd17b6,eif4e,0.09627681039374636,luma,ARACNE,eif4e---hsd17b6
heyl,mecom,0.09559356365675953,luma,ARACNE,heyl---mecom
map4,afdn,0.09534212495785432,luma,ARACNE,afdn---map4
sf3b1,akt1s1,0.09510441697487781,luma,ARACNE,akt1s1---sf3b1
ctcf,kdm3a,0.0949292081034665,luma,ARACNE,ctcf---kdm3a
cxcr1,mmp16,0.09428389972599494,luma,ARACNE,cxcr1---mmp16
smarcd1,setd2,0.093899638394063345,luma,ARACNE,setd2---smarcd1
pdgfra,acvrl1,0.09344227536081107,luma,ARACNE,acvrl1---pdgfra
tgfbr3,spry2,0.09275512784345974,luma,ARACNE,spry2---tgfbr3
map4,map2k2,0.09269232944022399,luma,ARACNE,map2k2---map4
map4,eif5a2,0.09216376977114393,luma,ARACNE,eif5a2---map4
wfdc2,sdc4,0.09132268590798187,luma,ARACNE,sdc4---wfdc2
tnk2,setd2,0.09108621153569896,luma,ARACNE,setd2---tnk2
arid2,shank2,0.09063724194081413,luma,ARACNE,arid2---shank2
ncor1,ncoa2,0.08959459502065581,luma,ARACNE,ncoa2---ncor1
itgav,col6a3,0.08937904795102547,luma,ARACNE,col6a3---itgav
mtor,smarcd1,0.08838873936125413,luma,ARACNE,mtor---smarcd1
mapk14,fn1,0.08828648624371027,luma,ARACNE,fn1---mapk14
col12a1,acvr1,0.08823863711407309,luma,ARACNE,acvr1---col12a1
pdgfra,ackr3,0.08821837529372623,luma,ARACNE,ackr3---pdgfra
hsd17b6,map2k2,0.08813004697249838,luma,ARACNE,hsd17b6---map2k2
mmp16,numbl,0.08691213222360883,luma,ARACNE,mmp16---numbl
casp9,arid1a,0.08599515176427097,luma,ARACNE,arid1a---casp9
ptprm,col6a3,0.08599466696292613,luma,ARACNE,col6a3---ptprm
adam10,map2k2,0.08591055794449609,luma,ARACNE,adam10---map2k2
runx1,jag1,0.08576394367838347,luma,ARACNE,jag1---runx1
pdgfra,cyp11a1,0.08539579042381895,luma,ARACNE,cyp11a1---pdgfra
ctbp2,stat3,0.08535949785614694,luma,ARACNE,ctbp2---stat3
hsd17b7,cdkn1b,0.08502962321865049,luma,ARACNE,cdkn1b---hsd17b7
akt1s1,myc,0.08473899348304137,luma,ARACNE,akt1s1---myc
ctbp2,mapk14,0.08455346377965878,luma,ARACNE,ctbp2---mapk14
itgav,acvr1,0.08405622474524854,luma,ARACNE,acvr1---itgav
syne1,map2k2,0.08392328282938966,luma,ARACNE,map2k2---syne1
sik1,ackr3,0.0838349364668538,luma,ARACNE,ackr3---sik1
akt1s1,arid1a,0.08359388315398775,luma,ARACNE,akt1s1---arid1a
syne1,asxl2,0.08316465351911795,luma,ARACNE,asxl2---syne1
sf3b1,myc,0.08303591293576851,luma,ARACNE,myc---sf3b1
map3k1,zfp36l1,0.08258686767166612,luma,ARACNE,map3k1---zfp36l1
map4,smad7,0.08244451289942134,luma,ARACNE,map4---smad7
dab2,heyl,0.08235958022927647,luma,ARACNE,dab2---heyl
col12a1,smad7,0.08232389509106497,luma,ARACNE,col12a1---smad7
jak1,fgf1,0.08218428011873957,luma,ARACNE,fgf1---jak1
ncor1,jak1,0.08205422692584907,luma,ARACNE,jak1---ncor1
acvrl1,nr2f1,0.0820007789778554,luma,ARACNE,acvrl1---nr2f1
hsd17b6,stmn2,0.08197721331369401,luma,ARACNE,hsd17b6---stmn2
cyp19a1,numbl,0.08157540979188305,luma,ARACNE,cyp19a1---numbl
adam10,rbl2,0.08089362968132274,luma,ARACNE,adam10---rbl2
ptprd,ackr3,0.0806772196354153,luma,ARACNE,ackr3---ptprd
mtor,map2k2,0.0806564791356692,luma,ARACNE,map2k2---mtor
hsd17b6,tnk2,0.08042612312464925,luma,ARACNE,hsd17b6---tnk2
smarcd1,src,0.08009453902243191,luma,ARACNE,smarcd1---src
acvr2b,map4,0.07992823573972441,luma,ARACNE,acvr2b---map4
hsd17b6,smad7,0.07983272922217921,luma,ARACNE,hsd17b6---smad7
abcc1,maml1,0.07969702934867406,luma,ARACNE,abcc1---maml1
mmp3,acvrl1,0.0796189783050556,luma,ARACNE,acvrl1---mmp3
ackr3,acvr1,0.0794949960711886,luma,ARACNE,ackr3---acvr1
ncor2,myh9,0.07940190537305991,luma,ARACNE,myh9---ncor2
