x,y,edge_id,subtype,method,type,ai,info,info_bits,info_cond,cplx,n_xy_ai,info_shifted,info_shifted_bits,ort_inferred,is_causal,sign,partial_correlation,p_y2x,p_x2y,consensus
jak1,mmp15,jak1---mmp15,basal,MIIC,P,NA,25.642978,0.185904508513692,25.642978,9.833456,199,15.809522,0.114614668282538,1,FALSE,-,-0.365094206021434,0.0123144273841209,0.5,3-method
hey1,jag1,hey1---jag1,basal,MIIC,P,NA,25.245619,0.183023765504885,25.245619,10.025745,199,15.219874,0.110339883129421,2,FALSE,+,0.471349284089309,0.5,0.998085802269552,3-method
hsd3b1,utrn,hsd3b1---utrn,basal,MIIC,P,NA,29.948509,0.21711841917748,29.948509,14.916934,199,15.031575,0.108974767383168,1,FALSE,+,0.402388916996894,0.5,0.5,3-method
dab2,rad51,dab2---rad51,basal,MIIC,P,NA,29.896759,0.21674324596961,29.896759,14.921335,199,14.975424,0.108567688140752,1,FALSE,-,-0.471004578204594,0.5,0.5,3-method
ncoa2,nf2,ncoa2---nf2,basal,MIIC,P,NA,23.96596,0.173746591166549,23.96596,10.021667,199,13.944293,0.101092273164838,1,FALSE,+,0.462564336835694,0.5,0.5,3-method
jak1,myc,jak1---myc,basal,MIIC,P,NA,28.48067,0.206476991810025,28.48067,14.570408,199,13.910262,0.100845557813398,6,FALSE,+,0.273994526413906,0.98973640543225,0.998809022539628,3-method
mapk14,stat3,mapk14---stat3,basal,MIIC,P,NA,23.582814,0.170968888482446,23.582814,9.966612,199,13.616202,0.0987137040258411,1,FALSE,+,0.428733875312209,0.5,0.5,3-method
frmd3,ncoa3,frmd3---ncoa3,basal,MIIC,P,NA,23.571581,0.170887452334736,23.571581,9.961198,199,13.610383,0.0986715178829118,-2,FALSE,-,-0.393863855434529,0.997440978837815,0.5,3-method
jak1,rbl2,jak1---rbl2,basal,MIIC,P,NA,34.026762,0.246684627110096,34.026762,20.690439,199,13.336323,0.0966846585718262,2,TRUE,+,0.42232518689181,1.22336552081349e-4,0.999858586353058,3-method
map2k1,tnk2,map2k1---tnk2,basal,MIIC,P,NA,22.761819,0.165016901471921,22.761819,9.739841,199,13.021978,0.0944057441365084,1,FALSE,-,-0.334856608583329,0.5,0.5,3-method
mmp16,thsd7a,mmp16---thsd7a,basal,MIIC,P,NA,22.809455,0.16536224931598,22.809455,9.96846,199,12.840995,0.0930936673697486,1,FALSE,+,0.307089995431704,0.5,0.5,3-method
ccnd2,jak2,ccnd2---jak2,basal,MIIC,P,NA,22.76204,0.165018503660886,22.76204,10.014029,199,12.748011,0.0924195590497385,1,FALSE,+,0.364694201838237,0.326638772824676,0.5,3-method
eif4e,gsk3b,eif4e---gsk3b,basal,MIIC,P,NA,32.085988,0.232614551606145,32.085988,20.008325,199,12.077663,0.0875597211840609,1,FALSE,-,-0.396221099773719,0.0760013119246977,0.5,3-method
bcl2l1,ncoa3,bcl2l1---ncoa3,basal,MIIC,P,NA,26.58165,0.192709621274604,26.58165,14.804905,199,11.776745,0.0853781487905221,6,FALSE,+,0.441634590093072,0.646687308483395,0.556487390575057,3-method
col6a3,nt5e,col6a3---nt5e,basal,MIIC,P,NA,26.59407,0.192799662844492,26.59407,14.833341,199,11.760729,0.0852620372137639,2,FALSE,+,0.347651928549044,0.5,0.984919528784952,3-method
acvr2b,mapk9,acvr2b---mapk9,basal,MIIC,P,NA,26.09799,0.189203219850099,26.09799,14.385248,199,11.712742,0.0849141447166426,1,FALSE,-,-0.22632629256326,0.5,0.5,3-method
bcl2l1,smad4,bcl2l1---smad4,basal,MIIC,P,NA,21.436653,0.155409813951545,21.436653,9.967993,199,11.46866,0.0831446176263398,-2,FALSE,-,-0.393711854496867,0.995088282933832,0.5,3-method
adgra2,peg3,adgra2---peg3,basal,MIIC,P,NA,26.284789,0.190557461010617,26.284789,14.838529,199,11.44626,0.082982223812692,1,FALSE,+,0.24108836938752,0.5,0.5,3-method
map2k1,map2k5,map2k1---map2k5,basal,MIIC,P,NA,20.922717,0.151683919888559,20.922717,10.025766,199,10.896951,0.0789998852688946,-2,FALSE,+,0.455107806363945,0.980237032581208,0.5,3-method
akt1s1,src,akt1s1---src,basal,MIIC,P,NA,20.548678,0.148972240439317,20.548678,9.867607,199,10.681071,0.0774348148898639,1,FALSE,+,0.393157291239975,0.5,0.5,3-method
adam17,stat3,adam17---stat3,basal,MIIC,P,NA,19.966842,0.144754090128711,19.966842,9.563612,199,10.40323,0.0754205443730015,1,FALSE,+,0.341533573448713,0.5,0.5,3-method
akt1s1,eif4e,akt1s1---eif4e,basal,MIIC,P,NA,25.121019,0.182120449916469,25.121019,14.754837,199,10.366182,0.0751519566047861,2,FALSE,-,-0.363408225527915,0.5,0.999985853750657,3-method
akt1,nras,akt1---nras,basal,MIIC,P,NA,25.320794,0.183568763493322,25.320794,14.970354,199,10.35044,0.0750378314523556,1,FALSE,-,-0.453209329240446,0.5,0.5,3-method
jag1,mecom,jag1---mecom,basal,MIIC,P,NA,20.190723,0.146377165548054,20.190723,9.895845,199,10.294878,0.0746350222972708,1,FALSE,+,0.411494616063286,0.5,0.5,3-method
kdm6a,nfkb2,kdm6a---nfkb2,basal,MIIC,P,NA,30.986559,0.224643994992529,30.986559,21.235113,199,9.751446,0.0706952903803845,-2,FALSE,-,-0.36103603020603797,0.953170426632588,0.5,3-method
pdgfrb,runx1,pdgfrb---runx1,basal,MIIC,P,NA,33.9175,0.245892507785685,33.9175,24.268699,199,9.648801,0.0699511424785149,-2,FALSE,+,0.448088180597575,0.998967299881324,0.5,3-method
ccnb1,runx1,ccnb1---runx1,basal,MIIC,P,NA,19.489875,0.141296211105758,19.489875,10.020639,199,9.469236,0.0686493458201369,1,FALSE,-,-0.445320458840868,0.5,0.5,3-method
gsk3b,mmp15,gsk3b---mmp15,basal,MIIC,P,NA,24.278914,0.176015421236028,24.278914,14.904488,199,9.374426,0.0679619995044249,1,FALSE,+,0.417620712693878,0.5,0.5,3-method
myc,smad4,myc---smad4,basal,MIIC,P,NA,19.17157,0.138988587764099,19.17157,9.810468,199,9.361102,0.0678654041841998,-2,FALSE,+,0.396119986524219,0.998809022539628,0.5,3-method
epcam,hdac2,epcam---hdac2,basal,MIIC,P,NA,33.726694,0.244509216981807,33.726694,24.406234,199,9.32046,0.0675707609085626,1,FALSE,+,0.530382306631669,0.5,0.5,3-method
dab2,palb2,dab2---palb2,basal,MIIC,P,NA,19.225779,0.13938158804285,19.225779,9.944386,199,9.281393,0.0672875359479474,1,FALSE,-,-0.382456802888829,0.5,0.5,3-method
mmp7,nras,mmp7---nras,basal,MIIC,P,NA,19.002442,0.137762456473267,19.002442,10.025814,199,8.976628,0.0650780738668594,1,FALSE,+,0.379603734952168,0.5,0.5,3-method
