subtype,edge_id,source,target,direction,p_x2y,p_y2x,direction_strength,info
luma,adam10---eif4e,adam10,eif4e,adam10 -> eif4e,4.94246665542699e-5,0.5,0.4999505753334457,96.225951
luma,eif4e---nt5e,nt5e,eif4e,nt5e -> eif4e,0.5,6.41296120909929e-5,0.499935870387909,81.166543
luma,fn1---hsd17b6,fn1,hsd17b6,fn1 -> hsd17b6,8.3525992898866e-5,0.5,0.49991647400710115,207.58138
luma,col12a1---hsd17b6,col12a1,hsd17b6,col12a1 -> hsd17b6,8.35260281158178e-5,0.5,0.49991647397188416,232.752804
luma,ctnna1---hsd17b6,ctnna1,hsd17b6,ctnna1 -> hsd17b6,8.35279584538822e-5,0.5,0.4999164720415461,64.571243
luma,fgf1---hsd17b6,fgf1,hsd17b6,fgf1 -> hsd17b6,8.35718390934725e-5,0.5,0.49991642816090653,123.965599
luma,eif4e---raf1,raf1,eif4e,raf1 -> eif4e,0.5,1.53781750900519e-4,0.49984621824909947,55.642359
luma,asxl1---eif4e,asxl1,eif4e,asxl1 -> eif4e,2.30246312558078e-4,0.5,0.4997697536874419,86.375485
luma,setd2---spen,setd2,spen,setd2 -> spen,2.53179124546739e-4,0.5,0.49974682087545325,83.906741
luma,col6a3---pdgfrb,pdgfrb,col6a3,pdgfrb -> col6a3,0.5,2.64174682416047e-4,0.4997358253175839,324.935504
luma,col12a1---col6a3,col12a1,col6a3,col12a1 -> col6a3,2.6417468241608e-4,0.5,0.4997358253175839,237.687151
luma,col6a3---tgfb3,tgfb3,col6a3,tgfb3 -> col6a3,0.5,2.64174682416047e-4,0.4997358253175839,218.197299
luma,arid5b---col6a3,arid5b,col6a3,arid5b -> col6a3,2.64174682543202e-4,0.5,0.4997358253174568,86.5866
luma,hdac2---lifr,hdac2,lifr,hdac2 -> lifr,2.89704719847727e-4,0.5,0.49971029528015226,62.338746
luma,ccnb1---ptprm,ptprm,ccnb1,ptprm -> ccnb1,0.5,3.03563175420318e-4,0.4996964368245797,50.115634
luma,akr1c4---pik3r3,pik3r3,akr1c4,pik3r3 -> akr1c4,0.5,3.03821251765182e-4,0.4996961787482348,35.986087
luma,ccnd2---hsd17b10,hsd17b10,ccnd2,hsd17b10 -> ccnd2,0.5,3.90010506263016e-4,0.499609989493737,40.574993
luma,bmp4---col6a3,bmp4,col6a3,bmp4 -> col6a3,3.96802941381117e-4,0.5,0.4996031970586189,33.885
luma,ccnd2---map2k4,map2k4,ccnd2,map2k4 -> ccnd2,0.5,4.35697953672873e-4,0.4995643020463271,30.194105
luma,rad51c---runx1,rad51c,runx1,rad51c -> runx1,5.43495451648673e-4,0.5,0.49945650454835133,80.068921
luma,ccnb1---chd1,chd1,ccnb1,chd1 -> ccnb1,0.5,8.47933385872209e-4,0.4991520666141278,107.371883
luma,ccnb1---ncoa3,ncoa3,ccnb1,ncoa3 -> ccnb1,0.5,9.49575300241425e-4,0.4990504246997586,55.955807
luma,nfkb1---runx1,nfkb1,runx1,nfkb1 -> runx1,0.001040413292869,0.5,0.498959586707131,21.267507
luma,abcc1---tsc2,abcc1,tsc2,abcc1 -> tsc2,0.00141307172834284,0.5,0.4985869282716572,68.374407
luma,tnk2---tsc2,tnk2,tsc2,tnk2 -> tsc2,0.00141307179754439,0.5,0.4985869282024556,121.399332
luma,smarcd1---tsc2,smarcd1,tsc2,smarcd1 -> tsc2,0.00141322279139328,0.5,0.4985867772086067,105.753304
luma,mapk1---tsc2,mapk1,tsc2,mapk1 -> tsc2,0.00143453266363853,0.5,0.4985654673363615,54.963605
luma,ccnd2---ncstn,ncstn,ccnd2,ncstn -> ccnd2,0.5,0.00166243627327747,0.49833756372672255,32.793397
luma,adgra2---pdgfrb,pdgfrb,adgra2,pdgfrb -> adgra2,0.5,0.00209241941549296,0.497907580584507,255.518884
luma,adgra2---nr2f1,nr2f1,adgra2,nr2f1 -> adgra2,0.5,0.00209241941549296,0.497907580584507,128.899608
luma,adgra2---plagl1,plagl1,adgra2,plagl1 -> adgra2,0.5,0.00209241941785483,0.4979075805821452,123.71136
luma,acvrl1---adgra2,acvrl1,adgra2,acvrl1 -> adgra2,0.00209241941858331,0.5,0.4979075805814167,166.164573
luma,adgra2---map3k3,map3k3,adgra2,map3k3 -> adgra2,0.5,0.00209241943713013,0.4979075805628699,58.87961
luma,adgra2---cyp11a1,cyp11a1,adgra2,cyp11a1 -> adgra2,0.5,0.00209249429966852,0.4979075057003315,62.322342
luma,adgra2---mmp3,mmp3,adgra2,mmp3 -> adgra2,0.5,0.0021627933223655,0.4978372066776345,99.08912
luma,lifr---spry2,lifr,spry2,lifr -> spry2,0.0021655470718403,0.5,0.4978344529281597,89.682983
luma,adgra2---st7,st7,adgra2,st7 -> adgra2,0.5,0.00224923707449324,0.49775076292550674,55.53087
luma,birc6---ubr5,birc6,ubr5,birc6 -> ubr5,0.00403802921477829,0.5,0.4959619707852217,36.385128
luma,bmp7---col6a3,bmp7,col6a3,bmp7 -> col6a3,0.00426533752444213,0.5,0.49573466247555786,43.191304
