subtype,x,y,direction,is_directed,info
basal,dab2,runx1,undirected,NA,17.432247
basal,mmp1,mmp11,undirected,NA,17.351643
basal,cdkn1b,hdac2,undirected,NA,17.207372
basal,mmp7,myc,undirected,NA,17.178514
basal,eif5a2,myc,undirected,FALSE,17.140261
basal,pms2,runx1,undirected,FALSE,17.055589
basal,ar,jak1,undirected,NA,17.018006
basal,casp8,cdh1,undirected,FALSE,16.984015
basal,ccne1,jak1,undirected,FALSE,16.952328
basal,myc,src,undirected,NA,16.909259
basal,adam17,jak1,undirected,NA,16.878848
basal,akt1,mmp7,undirected,NA,16.782474
basal,myc,ncoa3,undirected,NA,16.782474
basal,e2f3,mecom,undirected,NA,16.78187
basal,foxo3,runx1,foxo3 -> runx1 (weak),TRUE,16.766895
basal,nr2f1,runx1,undirected,NA,16.73917
basal,ccnb1,csf1r,undirected,FALSE,16.705908
basal,ccne1,stmn2,undirected,FALSE,16.69786
basal,hey1,pten,undirected,NA,16.6126
basal,e2f3,notch1,undirected,NA,16.545202
basal,jak1,map4,undirected,NA,16.484494
basal,ccnb1,fas,undirected,FALSE,16.466311
basal,gata3,hsd17b4,undirected,FALSE,16.446676
basal,adgra2,mmp11,undirected,NA,16.427463
basal,ccnb1,peg3,undirected,NA,16.423605
basal,jak1,smad4,undirected,NA,16.376127
basal,gata3,nr2f1,undirected,NA,16.321218
basal,akt1,bcl2l1,undirected,FALSE,16.284545
basal,akt1,itgav,undirected,NA,16.257097
basal,cdkn1b,fas,undirected,FALSE,16.201451
basal,bcl2l1,myc,undirected,FALSE,16.159712
basal,e2f3,fancd2,undirected,FALSE,16.150869
basal,col6a3,runx1,undirected,NA,16.144959
basal,foxp1,myc,foxp1 -> myc,TRUE,16.070785
basal,klrg1,vegfa,undirected,FALSE,16.067551
basal,akt1,tgfb3,undirected,NA,16.011773
basal,akt1,frmd3,undirected,NA,15.970298
basal,ar,ccnd1,undirected,NA,15.913207
basal,heyl,pten,undirected,NA,15.896547
basal,ncstn,src,undirected,NA,15.885663
basal,myc,stat3,undirected,NA,15.868198
basal,ccnb1,pdgfrb,undirected,NA,15.833681
basal,rad51,runx1,undirected,NA,15.816246
basal,ccne1,dab2,undirected,NA,15.777577
basal,acvr1,ccne1,undirected,FALSE,15.721557
basal,ccnb1,dab2,undirected,NA,15.710206
basal,bmp7,src,undirected,FALSE,15.697337
basal,e2f3,mapk4,undirected,NA,15.628326
basal,ccnb1,kdm3a,undirected,NA,15.463799
basal,myc,rad51c,undirected,NA,15.461594
basal,casp8,mapk14,undirected,NA,15.396513
basal,cdk6,tgfb3,undirected,NA,15.317661
basal,ackr3,mmp11,undirected,NA,15.30389
basal,mapk1,smarcd1,undirected,FALSE,15.300249
basal,e2f3,gata3,undirected,NA,15.293041
basal,bmf,runx1,bmf -> runx1 (weak),TRUE,15.223708
basal,ccne1,pdgfrb,undirected,NA,15.203708
basal,casp9,inhba,undirected,FALSE,15.202685
basal,e2f3,smad4,undirected,FALSE,15.201979
basal,cdk2,nras,undirected,NA,15.16938
basal,mmp11,pdgfra,undirected,NA,15.152453
basal,cdk6,sox9,undirected,FALSE,15.052159
basal,cdkn1a,mmp19,undirected,FALSE,15.022343
basal,cdkn1a,eif4e,undirected,FALSE,14.920398
basal,myc,ttyh1,undirected,NA,14.920398
basal,nr2f1,pten,undirected,NA,14.898103
basal,jak1,thada,undirected,NA,14.8699
basal,dll1,mmp11,undirected,NA,14.86774
basal,foxp1,jak1,undirected,NA,14.804053
basal,cdk6,rbl1,undirected,NA,14.710437
basal,bmp4,e2f3,undirected,NA,14.689135
basal,ccnb1,ubr5,undirected,FALSE,14.627392
basal,cdk6,nras,undirected,NA,14.540325
basal,akt1,pik3r1,undirected,NA,14.537292
basal,cdk2,sox9,undirected,FALSE,14.406673
basal,cdk6,hey2,undirected,NA,14.401601
basal,map2k2,myc,undirected,NA,14.344656
basal,vegfa,vegfb,undirected,FALSE,14.301613
basal,jak1,slc19a1,undirected,NA,14.204417
basal,pdgfa,runx1,undirected,FALSE,14.162887
basal,adam17,myc,undirected,NA,14.158659
